rank,score,dataset_name,file_extension,size_kb,department_names,request_id,request_url,document_download_url,is_open_data_duplicate,duplicate_of,reasons
301,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,56.7,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750410/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
302,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,54.9,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750431/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
303,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,54.3,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750470/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
304,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,46.1,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750499/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
305,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,48.1,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750511/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
306,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,42.0,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750513/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
307,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,55.8,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750526/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
308,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,57.4,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750565/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
309,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,53.1,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750576/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
310,7,HSOC22o - Open Requests by reported blocks.xlsx,xlsx,55.1,Public Works,21-5084,https://sanfrancisco.nextrequest.com/requests/21-5084,https://sanfrancisco.nextrequest.com/documents/8750589/download,false,,"request-context:+4 (complaint, complaints, incident, log, logs, records, -template, -form), size:+2, dept:+1"
